"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/chart/toprated",5411,334,87,3720,29,94043,11084,1.53
"GET","/api/correlated/births",1353,151,1500,8037,258,150558,2811,0.38
"GET","/api/correlated/births/true",544,54,1500,8113,274,82526,2810,0.15
"GET","/api/correlated/deaths",1372,128,1300,6519,239,100996,2853,0.39
"GET","/api/correlated/deaths/true",541,56,1200,7476,253,99759,2852,0.15
"GET","/api/correlated/gold-prices",1373,128,1100,7328,237,93453,17560,0.39
"GET","/api/correlated/gold-prices/true",529,65,1100,7632,259,97269,17560,0.15
"GET","/api/correlated/job-density",1392,114,860,5419,154,125605,3024,0.39
"GET","/api/correlated/job-density/true",535,64,990,6754,145,103312,3024,0.15
"GET","/api/correlated/jobs",1369,125,1400,7035,263,109511,2859,0.39
"GET","/api/correlated/jobs/true",541,48,1200,7943,266,119511,2859,0.15
"GET","/api/home/data",5344,392,52,4655,25,124794,98,1.51
"POST","/api/login",0,0,0,0,0,0,0,0.00
"GET","/api/recentobservations",5458,280,190,3153,79,150119,757,1.54
"GET","/api/related/births",1408,0,190,275,65,1348,636,0.40
"GET","/api/related/deaths",1406,0,190,252,64,1348,617,0.40
"GET","/api/related/gold-prices",1406,0,47,86,23,848,5582,0.40
"GET","/api/related/job-density",1407,0,180,252,64,1352,1060,0.40
"GET","/api/related/jobs",1407,0,160,230,64,1098,677,0.40
"GET","/api/search/birth",2667,235,200,5433,53,130037,117,0.75
"GET","/api/search/death",2744,161,140,3483,56,127913,214,0.78
"GET","/api/search/health",2759,140,130,3272,55,198042,170,0.78
"GET","/api/search/newham",2762,131,130,3234,60,118753,869,0.78
"GET","/api/search/population",2763,140,130,3512,57,127421,421,0.78
"GET","/api/search/westminster",2782,108,130,3171,59,141473,875,0.79
"GET","/api/user/activitystream",5742,0,920,13192,266,305654,1372,1.62
"None","Total",55015,2854,280,4862,23,305654,2679,15.56
