"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/chart/toprated",57223,78,170,360,670,31000,48000,76000,88000,266462
"GET /api/correlated/births",12671,19000,21000,24000,31000,55000,75000,102000,116000,206414
"GET /api/correlated/births/true",5047,19000,21000,25000,32000,59000,79000,101000,114000,210569
"GET /api/correlated/deaths",13267,19000,21000,23000,28000,52000,72000,98000,112000,217298
"GET /api/correlated/deaths/true",5270,19000,21000,23000,26000,52000,72000,96000,114000,208740
"GET /api/correlated/gold-prices",10815,6900,10000,24000,32000,53000,77000,98000,113000,205711
"GET /api/correlated/gold-prices/true",4383,6800,10000,22000,31000,51000,77000,98000,111000,233339
"GET /api/correlated/job-density",13864,19000,21000,23000,26000,50000,69000,97000,110000,202214
"GET /api/correlated/job-density/true",5473,19000,21000,22000,25000,48000,65000,91000,103000,178886
"GET /api/correlated/jobs",12757,19000,21000,23000,29000,54000,71000,98000,112000,224068
"GET /api/correlated/jobs/true",5086,19000,21000,23000,29000,54000,75000,100000,116000,207374
"GET /api/home/data",55102,55,130,480,1200,33000,52000,78000,89000,165344
"GET /api/recentobservations",62891,250,310,400,570,18000,38000,62000,80000,152589
"GET /api/related/births",19170,160,410,530,620,930,1200,1400,2400,115084
"GET /api/related/deaths",19185,150,360,490,570,860,1100,1300,1500,78276
"GET /api/related/gold-prices",19191,42,55,73,99,250,360,530,700,241375
"GET /api/related/job-density",19181,160,390,510,600,900,1100,1400,1600,71838
"GET /api/related/jobs",19196,160,370,490,570,820,1000,1200,1500,53105
"GET /api/search/birth",26548,190,360,970,10000,35000,54000,80000,92000,397018
"GET /api/search/death",28997,150,220,390,820,26000,47000,75000,88000,510832
"GET /api/search/health",30004,140,200,280,540,22000,41000,67000,85000,411613
"GET /api/search/newham",30194,140,200,280,530,22000,42000,69000,85000,546190
"GET /api/search/population",29740,150,210,310,630,24000,43000,72000,86000,591491
"GET /api/search/westminster",30263,140,190,270,470,21000,41000,68000,84000,353227
"GET /api/user/activitystream",77579,1800,36000,128000,128000,185000,255000,255000,256000,470769
"None Total",613097,280,1100,14000,18000,40000,80000,130000,249000,591491
