"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/chart/toprated",4984,240,380,880,7900,16000,36000,70000,73000,104240
"GET /api/correlated/births",1167,11000,14000,19000,22000,37000,56000,81000,86000,129918
"GET /api/correlated/births/true",388,11000,14000,18000,22000,35000,54000,84000,95000,105221
"GET /api/correlated/deaths",1112,11000,16000,21000,24000,37000,67000,84000,88000,168444
"GET /api/correlated/deaths/true",390,11000,18000,23000,26000,39000,59000,80000,83000,90597
"GET /api/correlated/gold-prices",1023,6500,14000,20000,25000,43000,74000,83000,94000,151765
"GET /api/correlated/gold-prices/true",370,5800,12000,17000,20000,39000,73000,83000,95000,151540
"GET /api/correlated/job-density",1170,8400,12000,16000,19000,30000,49000,77000,82000,137854
"GET /api/correlated/job-density/true",412,8600,13000,17000,19000,31000,48000,78000,84000,146809
"GET /api/correlated/jobs",1124,11000,14000,20000,23000,35000,50000,80000,86000,124363
"GET /api/correlated/jobs/true",388,11000,13000,20000,23000,39000,63000,80000,85000,107339
"GET /api/home/data",4752,86,430,6400,9700,19000,38000,69000,73000,120959
"GET /api/recentobservations",5093,270,380,850,1700,14000,24000,46000,71000,133334
"GET /api/related/births",1452,180,400,510,610,900,1000,1200,1300,1726
"GET /api/related/deaths",1452,170,380,480,550,820,1000,1200,1300,1739
"GET /api/related/gold-prices",1452,69,110,190,250,330,450,620,700,954
"GET /api/related/job-density",1452,170,370,470,540,840,1000,1200,1300,2099
"GET /api/related/jobs",1452,160,350,480,540,750,950,1100,1300,1990
"GET /api/search/birth",2428,280,980,9300,12000,23000,40000,72000,75000,102865
"GET /api/search/death",2554,180,350,1100,7400,16000,28000,69000,74000,122187
"GET /api/search/health",2640,170,270,670,4500,14000,25000,45000,70000,127766
"GET /api/search/newham",2621,160,240,560,1600,14000,25000,69000,73000,154562
"GET /api/search/population",2609,170,300,910,6900,15000,32000,70000,74000,398500
"GET /api/search/westminster",2610,160,240,600,1200,13000,25000,51000,72000,322380
"GET /api/user/activitystream",5914,1900,12000,26000,70000,129000,157000,255000,255000,343490
"None Total",51009,390,1900,8700,11000,23000,47000,128000,130000,398500
