"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/chart/toprated",6092,240,340,570,4900,9600,20000,37000,68000,93440
"GET /api/correlated/births",1463,6400,9500,12000,14000,24000,42000,73000,83000,116812
"GET /api/correlated/births/true",577,6200,8900,11000,14000,24000,43000,73000,75000,81638
"GET /api/correlated/deaths",1453,6300,8800,12000,14000,23000,42000,74000,78000,139605
"GET /api/correlated/deaths/true",570,6000,8500,11000,13000,23000,39000,73000,77000,97756
"GET /api/correlated/gold-prices",1417,4400,8600,12000,14000,28000,44000,72000,76000,106411
"GET /api/correlated/gold-prices/true",568,3600,7700,11000,12000,23000,40000,71000,75000,99901
"GET /api/correlated/job-density",1475,4600,7100,9600,11000,21000,40000,70000,75000,127085
"GET /api/correlated/job-density/true",571,4400,7100,9300,11000,16000,30000,70000,73000,129358
"GET /api/correlated/jobs",1450,6100,8900,11000,13000,24000,40000,74000,78000,130008
"GET /api/correlated/jobs/true",563,6000,8500,11000,13000,21000,31000,69000,71000,92733
"GET /api/home/data",6031,63,260,4600,6200,12000,24000,44000,68000,131838
"GET /api/recentobservations",6119,220,310,510,850,7600,14000,37000,67000,92046
"GET /api/related/births",1513,200,340,400,440,580,750,910,990,1227
"GET /api/related/deaths",1516,210,310,370,410,520,640,820,930,1262
"GET /api/related/gold-prices",1516,71,110,170,230,280,350,450,530,871
"GET /api/related/job-density",1515,190,310,370,410,540,660,840,950,1372
"GET /api/related/jobs",1516,170,270,350,390,490,620,730,810,1178
"GET /api/search/birth",2966,210,610,5500,7100,16000,36000,68000,70000,146810
"GET /api/search/death",3034,150,240,500,4200,9000,20000,40000,69000,130796
"GET /api/search/health",3056,140,220,440,1100,8300,18000,37000,67000,96297
"GET /api/search/newham",3038,140,210,420,1100,8300,19000,38000,68000,141319
"GET /api/search/population",3041,150,230,470,1200,8400,20000,39000,68000,92756
"GET /api/search/westminster",3023,150,220,430,1200,8300,19000,37000,67000,135813
"GET /api/user/activitystream",6392,1100,1800,6900,9300,36000,128000,133000,143000,279560
"None Total",60475,320,1200,4600,6300,13000,24000,68000,74000,279560
